#YY  MM DD hh mm WVHT  SwH  SwP  WWH  WWP SwD WWD  STEEPNESS  APD MWD
#yr  mo dy hr mn    m    m  sec    m  sec  -  degT     -      sec degT
2025 11 28 01 56  0.6  0.1 10.5  0.6  2.7 ESE NNW        N/A  3.0 340
2025 11 28 01 26  0.6  0.1 10.5  0.6  2.7 ESE NNW        N/A  3.1 333
2025 11 28 00 56  0.6  0.1 10.5  0.6  2.9 ESE NNW        N/A  3.1 342
2025 11 28 00 26  0.6  0.1 10.5  0.6  2.7 ESE NNW        N/A  3.1 335
2025 11 27 23 56  0.6  0.1 10.5  0.6  2.6 ESE NNW        N/A  3.1 329
2025 11 27 23 26  0.6  0.1 10.5  0.6  2.7 ESE NNW        N/A  3.2 337
2025 11 27 22 56  0.6  0.1 10.5  0.6  2.9  SE NNW        N/A  3.1 342
2025 11 27 22 26  0.6  0.1 10.5  0.6  2.6 ESE  NW        N/A  3.1 326
2025 11 27 21 56  0.6  0.1 10.5  0.6  2.6   E NNW        N/A  3.2 336
2025 11 27 21 26  0.6  0.1 10.5  0.6  2.3 ESE  NW        N/A  3.2 320
2025 11 27 20 56  0.6  0.1 11.1  0.6  2.4 ESE NNW        N/A  3.4 332
2025 11 27 20 26  0.6  0.1 11.1  0.6  2.3 ESE NNW        N/A  3.4 330
2025 11 27 19 56  0.6  0.1 10.5  0.5  6.7 ESE ESE        N/A  3.6 111
2025 11 27 19 26  0.6  0.1 11.1  0.6  3.7 ESE  NE        N/A  3.6  52
2025 11 27 18 56  0.6  0.1 10.5  0.6  6.7 ESE  SE        N/A  3.6 125
2025 11 27 18 26  0.6  0.1 11.1  0.6  3.6 ESE  NE        N/A  3.7  49
2025 11 27 17 56  0.6  0.1 10.5  0.6  3.7 ESE  NE        N/A  3.6  49
2025 11 27 17 26  0.7  0.1 11.1  0.7  4.0 ESE  NE        N/A  3.5  53
2025 11 27 16 56  0.7  0.1 11.1  0.7  3.3 ESE  NE        N/A  3.4  45
2025 11 27 16 26  0.7  0.1 11.1  0.7  3.7   E  NE        N/A  3.4  41
2025 11 27 15 56  0.7  0.1 11.1  0.7  3.9 ESE  NE        N/A  3.4  38
2025 11 27 15 26  0.7  0.1 11.1  0.7  3.7   E  NE        N/A  3.4  35
2025 11 27 14 56  0.8  0.1 10.5  0.8  3.6  SE NNE        N/A  3.4  31
2025 11 27 14 26  0.8  0.1 11.8  0.8  3.6 ESE NNE VERY_STEEP  3.3  31
2025 11 27 13 56  0.7  0.1 11.1  0.7  3.3 ESE NNE        N/A  3.4  25
2025 11 27 13 26  0.8  0.1 10.5  0.8  3.6   E NNE        N/A  3.3  27
2025 11 27 12 56  0.7  0.1 11.8  0.7  2.9 ESE   N        N/A  3.3   8
2025 11 27 12 26  0.7  0.1 11.1  0.7  3.2 ESE   N        N/A  3.3  10
2025 11 27 11 56  0.7  0.1 11.1  0.7  3.0   E   N        N/A  3.4   3
2025 11 27 11 26  0.7  0.1 10.5  0.7  6.2 ESE SSE        N/A  3.6 164
2025 11 27 10 56  0.7  0.1 11.8  0.7  5.9   E SSE        N/A  3.6 166
2025 11 27 10 26  0.7  0.1 10.5  0.7  6.2 ESE   S        N/A  3.8 169
2025 11 27 09 56  0.7  0.1 11.1  0.7  6.2 ESE   S        N/A  4.0 174
2025 11 27 09 26  0.7  0.1 11.1  0.7  6.7 ESE   S        N/A  4.2 169
2025 11 27 08 56  0.8  0.1 11.1  0.8  6.7 ESE SSE        N/A  4.3 166
2025 11 27 08 26  0.8  0.1 11.1  0.8  6.2 ESE   S      STEEP  4.5 169
2025 11 27 07 56  0.9  0.1 11.8  0.8  6.2 ESE SSE      STEEP  4.5 166
2025 11 27 07 26  0.9  0.1 11.1  0.8  6.7 ESE SSE    AVERAGE  4.6 164
2025 11 27 06 56  0.9  0.1 11.8  0.9  6.7 ESE SSE    AVERAGE  4.7 166
2025 11 27 06 26  0.9  0.1 11.1  0.9  5.9 ESE   S      STEEP  4.8 169
2025 11 27 05 56  0.9  0.1 11.8  0.9  7.1 ESE SSE    AVERAGE  4.8 160
2025 11 27 05 26  0.9  0.1 11.8  0.9  6.2 ESE SSE      STEEP  4.9 160
2025 11 27 04 56  0.9  0.1 11.1  0.9  6.7 ESE SSE    AVERAGE  5.0 159
